X,Species,Development,Agriculture,Energy & Mining,Transportation,Hunting & Trade,Logging,Fishing,Human disturbance,Fire,Dams,Invasive species &d Disease,Pollution,Geological Events,Climate change & severe weather,Other,sum,Family,Order,risk,iucn,NTVUENCR,NTVUENCREWEX,CLASS
2400,Dendropsophus frosti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2401,Dendropsophus garagoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2402,Dendropsophus gaucheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2403,Dendropsophus giesleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2404,Dendropsophus grandisonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2406,Dendropsophus haddadi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2407,Dendropsophus haraldschultzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2408,Dendropsophus imitator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2409,Dendropsophus jimi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2410,Dendropsophus joannae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2411,Dendropsophus juliani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2412,Dendropsophus koechlini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2413,Dendropsophus labialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2414,Dendropsophus leali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2415,Dendropsophus leucophyllatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2416,Dendropsophus limai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2417,Dendropsophus luddeckei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2418,Dendropsophus luteoocellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2419,Dendropsophus manonegra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2420,Dendropsophus mapinguari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2421,Dendropsophus marmoratus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2422,Dendropsophus mathiassoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2423,Dendropsophus melanargyreus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2425,Dendropsophus meridianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2426,Dendropsophus microcephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2427,Dendropsophus microps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2428,Dendropsophus minimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2429,Dendropsophus minusculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2430,Dendropsophus minutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2431,Dendropsophus miyatai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2432,Dendropsophus nahdereri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2433,Dendropsophus nanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2434,Dendropsophus norandinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2435,Dendropsophus novaisi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2436,Dendropsophus oliveirai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2437,Dendropsophus ozzyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2438,Dendropsophus padreluna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2439,Dendropsophus parviceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2440,Dendropsophus pauiniensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2441,Dendropsophus pelidna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2442,Dendropsophus phlebodes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2443,Dendropsophus praestans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2444,Dendropsophus pseudomeridianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2445,Dendropsophus reichlei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2446,Dendropsophus rhea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2447,Dendropsophus rhodopeplus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2448,Dendropsophus riveroi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2449,Dendropsophus robertmertensi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2450,Dendropsophus rossalleni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2451,Dendropsophus rubicundulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2452,Dendropsophus ruschii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2453,Dendropsophus salli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2454,Dendropsophus sanborni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2455,Dendropsophus sarayacuensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2456,Dendropsophus sartori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2457,Dendropsophus schubarti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2458,Dendropsophus seniculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2459,Dendropsophus shiwiarum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2460,Dendropsophus soaresi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2461,Dendropsophus stingi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2462,Dendropsophus studerae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2463,Dendropsophus subocularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2464,Dendropsophus timbeba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2465,Dendropsophus tintinnabulum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2466,Dendropsophus triangulum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2467,Dendropsophus tritaeniatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2468,Dendropsophus virolinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2469,Dendropsophus walfordi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2470,Dendropsophus werneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2471,Dendropsophus xapuriensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2472,Dendropsophus yaracuyanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2473,Diaglena spatulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2474,Dryaderces inframaculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2475,Dryaderces pearsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2479,Duellmanohyla rufioculis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2484,Ecnomiohyla bailarina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2487,Ecnomiohyla miliaria,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,NA,3,Hylidae,Anura,0,LC,,,AMPHIBIA
2489,Ecnomiohyla miotympanum,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,,NA,3,Hylidae,Anura,NA,NA,,,AMPHIBIA
2490,Ecnomiohyla phantasmagoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2493,Ecnomiohyla sukia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2494,Ecnomiohyla thysanota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2497,Exerodonta abdivita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2498,Exerodonta bivocata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2501,Exerodonta juanitae,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,NA,1,Hylidae,Anura,NA,NA,,,AMPHIBIA
2504,Exerodonta pinorum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,Hylidae,Anura,NA,NA,,,AMPHIBIA
2505,Exerodonta smaragdina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2506,Exerodonta sumichrasti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2508,Hyla andersonii,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,NA,3,Hylidae,Anura,NA,NA,,,AMPHIBIA
2509,Hyla annectans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2510,Hyla arborea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2511,Hyla arboricola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2512,Hyla arenicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2513,Hyla avivoca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2514,Hyla bocourti,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,Hylidae,Anura,NA,NA,,,AMPHIBIA
2515,Hyla chinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2516,Hyla chrysoscelis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2517,Hyla cinerea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2518,Hyla euphorbiacea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,Hylidae,Anura,NA,NA,,,AMPHIBIA
2519,Hyla eximia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2520,Hyla felixarabica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2521,Hyla femoralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2522,Hyla gratiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2523,Hyla hallowellii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2524,Hyla heinzsteinitzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,Hylidae,Anura,NA,NA,,,AMPHIBIA
2525,Hyla immaculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2526,Hyla intermedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2527,Hyla japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2528,Hyla meridionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2529,Hyla molleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2530,Hyla orientalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2531,Hyla plicata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2532,Hyla sanchiangensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2533,Hyla sarda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2534,Hyla savignyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2535,Hyla simplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2536,Hyla squirella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2537,Hyla suweonensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,Hylidae,Anura,NA,NA,,,AMPHIBIA
2538,Hyla tsinlingensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2539,Hyla versicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2540,Hyla walkeri,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,NA,3,Hylidae,Anura,NA,NA,,,AMPHIBIA
2541,Hyla wrightorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2542,Hyla zhaopingensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2543,Hyliola cadaverina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2544,Hyliola regilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2545,Hylomantis aspera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2546,Hylomantis buckleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2547,Hylomantis danieli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2548,Hylomantis granulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2549,Hylomantis medinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2550,Hylomantis psilopygion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2551,Hyloscirtus albopunctulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2554,Hyloscirtus armatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2561,Hyloscirtus condor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2565,Hyloscirtus estevesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2567,Hyloscirtus larinopygion,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,,NA,4,Hylidae,Anura,0,LC,,,AMPHIBIA
2568,Hyloscirtus lascinius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2569,Hyloscirtus lindae,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,,NA,4,Hylidae,Anura,0,LC,,,AMPHIBIA
2571,Hyloscirtus mashpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2572,Hyloscirtus pacha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2573,Hyloscirtus palmeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2575,Hyloscirtus phyllognathus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,0,LC,,,AMPHIBIA
2578,Hyloscirtus princecharlesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2584,Hyloscirtus tapichalaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2587,Hypsiboas aguilari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2588,Hypsiboas albomarginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2589,Hypsiboas alboniger,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,NA,3,Hylidae,Anura,NA,NA,,,AMPHIBIA
2590,Hypsiboas albopunctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2591,Hypsiboas alemani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2592,Hypsiboas alfaroi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2593,Hypsiboas almendarizae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2594,Hypsiboas atlanticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2595,Hypsiboas balzani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2596,Hypsiboas bandeirantes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2597,Hypsiboas beckeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2598,Hypsiboas benitezi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2599,Hypsiboas bischoffi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2600,Hypsiboas boans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2601,Hypsiboas botumirim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2602,Hypsiboas buriti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
2603,Hypsiboas caingua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,Hylidae,Anura,NA,NA,,,AMPHIBIA
