Dataset,nest.ID,used,burned,hcov,vcov,hcov_10,vcov_10,mxheight,mxwidth,perwidth,percPG_10,percAG_10,percPF_10,percAF_10,percRC_10,percL_10,percBG_10,percRO_10,percShr_10,SageH_0,SageH_10,OShrH_0,OShrH_10,PgH_0,PgH_10,PfH_0,PfH_10,RgH_0,RgH_10,TaSage_5,TaSage_10,AllDwSage_5,AllDwSage_10,ALLSage_5,ALLSage_10,NonSageShr_5,NonSageShr_10,ALLShrs_5,ALLShr_10,PJ_5,PJ_10,Dead_5,Dead_10,Rabbitbrush_5,Rabbitbrush_10,Bitterbrush_5,Bitterbrush_10
UnburnedvAll,16-SV-14NV3516-IR-N1,0,0,42,36,47.88888889,6,59,72,49,25.33333333,5.166666667,5.166666667,7.833333333,19.66666667,60.5,17,14.5,30.16666667,0,29.5,59,58.5,16,23.5,5,8,9,5,0,1.933333333,0,0,0,1.933333333,11.66666667,12.86666667,11.66666667,14.8,0,0,17.8,15,11.66666667,12.86666667,0,0
UnburnedvAll,16-SV-14NV3518-IR-N1,0,0,88,84,85.88888889,15.33333333,162,141,132,2.5,2.5,2.5,32.16666667,37.16666667,7.833333333,48,2.5,8.5,0,0,102,53.5,0,0,0,0,3,2.75,0,0,0,0,0,0,36.33333333,22.6,36.33333333,22.6,0,0,0,2.266666667,0,0,0,0
UnburnedvAll,16-SV-14NV3589-IR-N1,0,0,97.33,100,81.33333333,33.33333333,85,126,88,26.16666667,2.5,2.5,5.166666667,8.5,19.66666667,28,2.5,8.5,85,46.5,0,16.75,38,31.25,0,7,38,23.5,27.26666667,28.43333333,0,0,27.26666667,28.43333333,1,3.3,28.26666667,31.73333333,0,0.666666667,0,0,0,0,1,0.5
UnburnedvAll,16-SV-14NV3600-IR-N1,0,0,98.67,92,87.77777778,40.66666667,72,181,124,2.5,2.5,14.33333333,25.33333333,2.5,2.5,23,40.5,2.5,0,0,72,18,31,19.5,24,40.25,20,15.5,0,0,0,0,0,0,14.53333333,7.266666667,14.53333333,7.266666667,0,0,0,0,0,0,14.53333333,7.266666667
UnburnedvAll,16-SV-14NV3632-IR-N1,0,1,90.67,100,83.77777778,22.66666667,41,86,80,2.5,2.5,7.833333333,2.5,11.16666667,2.5,8.5,62.16666667,22.66666667,41,10.25,0,22,34,21.5,0,27.5,20,14.25,0,0,0,0,0,0,6.733333333,5.7,6.733333333,5.7,0,0,2.733333333,2.7,6.733333333,4.366666667,0,0
UnburnedvAll,16-SV-14NV3756-IR-N1,0,0,78.67,80,75.66666667,32,123,245,140,20.33333333,2.5,11.16666667,5.166666667,11.16666667,50.33333333,17,2.5,2.5,25,32.5,123,46.5,16,17.75,0,12.25,18,14.5,4.6,2.833333333,0,0,4.6,2.833333333,16.13333333,10.1,20.73333333,12.93333333,0,5.866666667,1.733333333,1.833333333,0,0,14.6,7.866666667
UnburnedvAll,16-SV-14NV3763-IR-N1,0,0,92.67,96,76.55555556,44,94,121,118,10.5,8.5,5.166666667,2.5,7.833333333,8.5,44.66666667,2.5,22.66666667,94,50.5,0,54.5,29,26.75,0,3,24,13.5,17.8,14.86666667,0,0,17.8,14.86666667,0,0,17.8,14.86666667,0,0,4.133333333,6.033333333,0,0,0,0
UnburnedvAll,16-SV-14NV3784-IR-N1,0,0,87.33,92,66.77777778,44,107,123,81,2.5,5.166666667,2.5,2.5,8.5,34.33333333,2.5,34.33333333,30.16666667,107,53.5,58,44.5,24,11,0,0,9,4.75,9.133333333,4.866666667,0,0,9.133333333,4.866666667,3.6,1.8,12.73333333,6.666666667,0,16.33333333,3.266666667,4.833333333,3.6,1.8,0,0
UnburnedvAll,16-SV-14NV3858-IR-N1,0,1,92.67,68,67.77777778,22.66666667,50,126,76,2.5,7.833333333,2.5,2.5,13.83333333,5.166666667,35.5,2.5,42,50,30.5,0,0,19,16.5,0,0,9,7.5,18.06666667,10.13333333,0,6.433333333,18.06666667,16.56666667,0,0,18.06666667,16.56666667,0,0,0,0.733333333,0,0,0,0
UnburnedvAll,16-SV-14NV3866-IR-N1,0,0,58.67,28,51.11111111,4.666666667,90,186,181,7.833333333,2.5,2.5,2.5,5.166666667,2.5,14.5,89.66666667,2.5,0,19.5,90,24,17,23.75,0,7.25,37,22.25,0,3.2,0,0,0,3.2,11.53333333,5.766666667,11.53333333,8.966666667,0,0,0,0,0,0,10.2,5.1
UnburnedvAll,16-SV-14NV3870-IR-N1,0,1,92.67,92,64,16,66,77,71,2.5,11.16666667,2.5,5.166666667,13.83333333,2.5,50.33333333,31.33333333,2.5,66,16.5,0,12.25,63,24,0,0,10,8.25,13.66666667,8.6,0,0,13.66666667,8.6,0,0,13.66666667,8.6,0,0,1.933333333,0.966666667,0,0,0,0
UnburnedvAll,16-SV-14NV4173-IR-N1,0,0,89.33,96,73.66666667,20,79,133,88,5.166666667,14.33333333,5.166666667,11.16666667,5.166666667,2.5,46.33333333,40.5,2.5,0,0,79,19.75,25,18.75,9,16.5,8,10.25,0,0,0,0,0,0,10.4,5.2,10.4,5.2,0,0,7.066666667,3.533333333,0,0,0,0
UnburnedvAll,16-SV-14NV4179-IR-N1,0,1,76.67,72,64.22222222,12,39,84,63,17.16666667,2.5,5.166666667,2.5,17.16666667,7.833333333,8.5,40.5,2.5,39,9.75,0,0.75,17,10.75,8,9.75,8,9.5,5.4,2.7,0,0,5.4,2.7,3.133333333,1.566666667,8.533333333,4.266666667,0,0,2.933333333,1.466666667,0,0,0,0
UnburnedvAll,16-SV-14SO443-IR-N1,0,0,99.33,100,73.22222222,19.33333333,105,178,135,7.833333333,2.5,2.5,2.5,8.5,2.5,62.16666667,14.5,7.833333333,63,37.25,105,39.75,51,33.75,0,2.5,8,8.25,20.6,17.03333333,0,0,20.6,17.03333333,15.53333333,16.96666667,36.13333333,34,0,0,2.4,2.033333333,0,0,15.53333333,16.96666667
UnburnedvAll,16-SV-14SO444-IR-N1,0,0,94,44,78.11111111,8.666666667,40,98,82,2.5,7.833333333,2.5,2.5,26.33333333,8.5,2.5,70.5,8.5,40,20,0,0,0,0,0,0,19,11,0,0,8.733333333,7.966666667,8.733333333,7.966666667,0,0,8.733333333,7.966666667,0,0,0,0,0,0,0,0
UnburnedvAll,16-SV-14SO484-IR-N1,0,1,96,88,65.88888889,14.66666667,39,92,90,7.833333333,7.833333333,22.66666667,2.5,13.83333333,2.5,25.33333333,44.66666667,2.5,39,25.5,18,9,16,13.5,0,3.5,4,4.25,0,0,36,26.13333333,36,26.13333333,0,0,36,26.13333333,0,0,3.066666667,4.733333333,0,0,0,0
UnburnedvAll,16-SV-14SO488-IR-N1,0,0,14,12,7,2,14,40,37,2.5,2.5,2.5,11.16666667,2.5,2.5,89.66666667,2.5,2.5,0,0,0,0,14,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnburnedvAll,16-SV-14SO488-IR-N2,0,1,82,100,49.33333333,16.66666667,57,98,90,2.5,2.5,2.5,2.5,7.833333333,2.5,54.66666667,28.83333333,5.166666667,57,14.25,0,4.5,27,16,0,0,18,16.5,0,2.466666667,9.866666667,7.433333333,9.866666667,9.9,1.066666667,0.533333333,10.93333333,10.43333333,2.066666667,1.033333333,1.933333333,1.5,0,0,0,0
UnburnedvAll,17-SV-14GS1185-IR-N1,0,1,98,0,75.61111111,10,63,117,92,4,42.45833333,3.166666667,2.5,7.625,9.833333333,50.45833333,2.5,15,63,42.14285714,0,21.78571429,24,12.21428571,0,4.642857143,16,11.71428571,10.75,7.75,0,0,10.75,7.75,0,4.875,10.75,12.625,0,0,1,3.95,0,1,0,0
UnburnedvAll,17-SV-14GS1192-IR-N1,0,0,44.66666667,32,39.55555556,11,36,98,78,3.166666667,2.5,3.833333333,6.5,12.375,6.166666667,23.16666667,60.70833333,10.375,36,21.92857143,0,7.357142857,12,5.714285714,34,11.85714286,7,4.928571429,0,0,15.4,11.225,15.4,11.225,0,0,15.4,11.225,0,0,2.15,1.075,0,0,0,0
UnburnedvAll,17-SV-14GS1197-IR-N1,0,1,44.66666667,0,51,0,10,13,12,19.41666667,11.79166667,2.5,2.5,40.875,7.541666667,3.833333333,27.25,2.5,0,0,0,0,0,17.85714286,0,0,7,12.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnburnedvAll,17-SV-14NV2587-IR-N1,0,1,62,16,47.83333333,11,35,65,48,13.125,8.791666667,4.666666667,3.833333333,6.166666667,5.5,10.95833333,53.375,15.58333333,35,30.07142857,0,5.428571429,23,17.07142857,0,1.214285714,3,2.5,0,1.55,10.2,11.275,10.2,12.825,0,0,10.2,12.825,0,0,0,1.225,0,0,0,0
UnburnedvAll,17-SV-14NV2921-IR-N1,0,1,99.33333333,56,79.77777778,26,53,131,129,7.625,60.5,7.666666667,6.125,7.333333333,12.5,17.20833333,4.666666667,9.416666667,53,22.71428571,0,8.714285714,47,20.64285714,51,33.57142857,28,12.64285714,11.15,5.575,0,0,11.15,5.575,0,0,11.15,5.575,0,0,4.05,5.05,0,0,0,0
UnburnedvAll,17-SV-14NV3589-IR-N1,0,0,98.66666667,48,49,16,96,217,142,3.833333333,15.29166667,6.833333333,3.166666667,13.66666667,3.833333333,8.958333333,28.91666667,19.95833333,0,0,96,41.14285714,0,3.428571429,0,5.571428571,3,4.214285714,0,0,0,1.175,0,1.175,16.8,8.4,16.8,9.575,0,0,0,0,0,0,0,0
UnburnedvAll,17-SV-14NV3756-IR-N1,0,0,86.66666667,88,60.44444444,34.33333333,41,83,81,3.166666667,3.166666667,3.833333333,3.833333333,11.04166667,7.5,23.70833333,45.25,21.33333333,41,32.07142857,0,2.285714286,14,10.35714286,31,19.42857143,13.5,8,0,0,24.75,22.725,24.75,22.725,0,0,24.75,22.725,0,0,0,0.75,0,0,0,0
UnburnedvAll,17-SV-14NV3770-IR-N1,0,0,84,68,71.72222222,30.33333333,70,91,70,5.833333333,11.04166667,3.833333333,2.5,8.125,14,11.25,42.66666667,33.08333333,70,56.85714286,0,24.71428571,37,25.35714286,38,17.35714286,12,11.78571429,17.3,15.8,0,0,17.3,15.8,4.95,4.425,22.25,20.225,0,0,12.2,8.175,0,1.95,4.95,2.475
UnburnedvAll,17-SV-14NV3858-IR-N1,0,1,74,8,59.05555556,3,56,76,28,2.5,20,3.166666667,3.166666667,61.33333333,3.833333333,4.666666667,14.83333333,7.541666667,0,7.357142857,76,32.07142857,0,0,13.5,3.214285714,19.5,14.35714286,0,2.4,0,0,0,2.4,0,0,0,2.4,0,0,9.6,4.8,0,0,0,0
UnburnedvAll,17-SV-14NV3866-IR-N1,0,0,92,100,52.16666667,39,48,78,65,5.333333333,23,2.5,14.29166667,23.83333333,5.166666667,13.95833333,37.875,6.958333333,48,22.42857143,0,13.14285714,0,4.785714286,0,1.642857143,4,3.214285714,0,0,16.95,16.475,16.95,16.475,0,5,16.95,21.475,0,0,0,0,0,0,0,5
UnburnedvAll,17-SV-14NV4171-IR-N1,0,1,63.33333333,4,50,16.66666667,84,107,52,2.5,2.5,2.5,2.5,2.5,2.5,62,2.5,40.33333333,84,47.5,53,26,0,1,0,0,0,0,15.26666667,16.56666667,1.2,0.6,16.46666667,17.16666667,5.866666667,7.033333333,22.33333333,24.2,0,0,0,0,5.866666667,7.033333333,0,0
UnburnedvAll,17-SV-14NV4240-IR-N1,0,0,44,56,34.55555556,28,59,104,81,5.166666667,2.5,2.5,2.5,17,2.5,17,69.66666667,2.5,0,0,59,25.75,0,4,23,11,18,7.25,0,0,0,0,0,0,14.4,10.2,14.4,10.2,0,0,7.466666667,3.733333333,14.4,10.2,0,0
UnburnedvAll,17-SV-14SO484-IR-N1,0,0,90,56,72.55555556,31,46,104,44,13.875,2.5,13.41666667,3.166666667,6.125,8.666666667,47.875,2.5,33.66666667,46,44.35714286,0,6.928571429,15,18.71428571,2,7.928571429,12,8.785714286,35.85,36.425,3.7,2.75,39.55,39.175,0,0,39.55,39.175,0,0,0,0,0,0,0,0
UnburnedvAll,17-SV-BELLALUNA-IR-N1,0,0,81.33333333,100,58.27777778,48,119,155,117,2.5,31.33333333,2.5,2.5,24.58333333,11,37.16666667,2.5,23.375,119,84.64285714,0,12.64285714,0,0,0,0,6,4.142857143,28.5,18.4,0,0,28.5,18.4,0,0,28.5,18.4,0,0,0,0.275,0,0,0,0
UnburnedvAll,17-SV-BILLIEJEAN-IR-N1,0,1,89.33333333,92,56.94444444,42.66666667,79,66,53,9.625,12.08333333,3.166666667,5.833333333,5.333333333,4.5,24,40.29166667,30.04166667,79,52.92857143,67,25.35714286,31,18.85714286,0,3.428571429,4,4.071428571,28.8,21.625,0,0,28.8,21.625,3.65,2.95,32.45,24.575,0,0,0,0,0,0,0,0
UnburnedvAll,17-SV-BRANDI-IR-N1,0,0,27.33333333,8,24.77777778,4,60,88,55,2.5,31.33333333,5.166666667,5.166666667,32.16666667,5.166666667,14.33333333,23,2.5,0,0,60,15,0,0,0,1.75,6,5.25,0,0,0,0,0,0,4.866666667,3.1,4.866666667,3.1,0,0,0,0,0,0,0,0
UnburnedvAll,17-SV-BRANDI-IR-N2,0,0,94,76,69.05555556,28.66666667,63,66,56,17.29166667,2.5,2.5,3.166666667,63,4,3.833333333,29.375,2.5,63,23.85714286,0,13.14285714,56,32.35714286,0,0,42,17.21428571,5.1,3.4,0,0,5.1,3.4,0,0,5.1,3.4,0,0,2.45,2.125,0,0,0,0
UnburnedvAll,17-SV-MAGGIEMAY-IR-N1,0,0,80.66666667,84,48.05555556,29.33333333,47,105,75,4.666666667,6.5,3.833333333,5.166666667,12.625,7.166666667,24.45833333,58.20833333,3.166666667,0,0,47,23.57142857,18,11.07142857,0,0.714285714,2,4.785714286,0,0,0,0,0,0,6.75,5.225,6.75,5.225,0,0,2.05,1.025,0,0,0,0
UnburnedvAll,17-SV-TESSABOOTS-IR-N1,0,0,58.66666667,8,59.77777778,4,153,69,49,78,2.5,5.166666667,2.5,2.5,7.833333333,10.5,2.5,2.5,0,0,153,38.25,24,29,7,5,0,0,0,0,0,0,0,0,7.533333333,3.766666667,7.533333333,3.766666667,0,0,0,0.233333333,0,0,0,0
UnburnedvAll,18-SV-FID1036-IR-N,0,1,73.33333333,92,58.16666667,31.33333333,91,153,122,13.45833333,11.5,2.5,2.5,41.95833333,11.29166667,11.79166667,2.5,6.791666667,0,0,91,53.21428571,9,12.5,7,9.928571429,2,4.214285714,0,0,0,0,0,0,13.2,6.6,13.2,6.6,0,0,0,0,0,0,12.85,6.425
UnburnedvAll,18-SV-FID1042-IR-N,0,0,67.33333333,96,37.33333333,32,80,107,89,6.833333333,2.5,2.5,3.166666667,3.166666667,4.666666667,84.04166667,2.5,7.625,80,42.28571429,0,7.928571429,7,7.071428571,10,5.214285714,8,8.785714286,20.3,15.475,0,0,20.3,15.475,0,7.875,20.3,23.35,0,0,0,0,0,0,0,0
UnburnedvAll,18-SV-FID1043-IR-N,0,0,47.33333333,64,50.83333333,29.33333333,77,129,116,2.5,7.625,2.5,12.33333333,3.833333333,3.166666667,55.5,2.5,31.08333333,77,47.85714286,46,46.35714286,0,0.642857143,0,0,21,5.785714286,55.95,48.625,0,0,55.95,48.625,2.6,1.3,58.55,49.925,0,0,6.15,10.1,0,0,0,0
UnburnedvAll,18-SV-FID1048-IR-N,0,0,92.66666667,84,61.55555556,34,105,247,225,13.41666667,9.708333333,3.833333333,2.5,7.333333333,3.166666667,10.375,22.41666667,44.29166667,0,18.85714286,105,56.85714286,19,20.92857143,0,5.5,10,13.14285714,0,0,10,12.95,10,12.95,18.2,9.1,28.2,22.05,0,0,0,1.575,0,0,16.9,8.45
UnburnedvAll,18-SV-FID1049-IR-N,0,0,92.66666667,92,62.61111111,33.66666667,78,111,68,3.166666667,21.45833333,2.5,2.5,3.166666667,4.666666667,63.79166667,2.5,25.5,0,0,78,62.92857143,0,1.714285714,0,1.785714286,14,7.785714286,0,0,0,0,0,0,33.8,30.575,33.8,30.575,0,0,0,0,0,0,0,0
UnburnedvAll,18-SV-FID1056-IR-N,0,0,79.33333333,100,66,33.66666667,104,179,110,6.791666667,38.33333333,5.458333333,3.166666667,34.79166667,3.166666667,6.125,11.83333333,13.41666667,0,0,104,44.57142857,0,12.07142857,0,3.642857143,51,16.28571429,0,0,0,0,0,0,15.25,7.625,15.25,7.625,0,0,2.7,1.35,0,0,0,0
UnburnedvAll,18-SV-FID1058-IR-N,0,0,90,100,67.05555556,33.66666667,81,112,94,2.5,30.91666667,2.5,8,38.83333333,8,6.666666667,17.875,6.958333333,81,34.71428571,0,5.714285714,0,0,0,0.714285714,30,11.21428571,0,0,12.25,6.125,12.25,6.125,0,0,12.25,6.125,0,0,0,0,0,0,0,0
UnburnedvAll,18-SV-FID1059-IR-N,0,1,77.33333333,100,59.44444444,33.33333333,72,141,133,2.5,33.625,2.5,2.5,54.45833333,5.166666667,12.75,6.666666667,3.833333333,0,0,72,32.92857143,50,14.28571429,0,1.571428571,38,13.57142857,0,0,0,0,0,0,10,5,10,5,0,0,3.8,3.95,0,0,0,0
UnburnedvAll,18-SV-FID1061-IR-N,0,1,81.33333333,84,64.38888889,28,63,146,96,20.625,11,8.291666667,2.5,18.375,12.125,6,21.58333333,5.458333333,0,0,63,30,41,35.28571429,18,21.92857143,12,14.64285714,0,0,0,0,0,0,9.25,4.625,9.25,4.625,0,0,2.35,1.175,9.25,4.625,0,0
UnburnedvAll,18-SV-FID1065-IR-N,0,0,95.33333333,28,80.5,24.66666667,83,103,73,10.29166667,7.333333333,3.166666667,11.66666667,10,17.125,48.75,3.166666667,21.83333333,83,70,0,4.714285714,8,21.14285714,0,0.928571429,3,7,49.4,45.9,0,0,49.4,45.9,0,0,49.4,45.9,0,0,2.6,1.3,0,0,0,0
UnburnedvAll,18-SV-FID1067-IR-N,0,0,91.33333333,88,70.55555556,43,55,142,90,12.5,26.20833333,2.5,2.5,19.41666667,12.33333333,9.416666667,26.91666667,15.54166667,55,47.78571429,0,15.57142857,59,39.35714286,0,2.214285714,19,20,19.35,25.2,0,0,19.35,25.2,0,0,19.35,25.2,0,0,0,0,0,0,0,0
UnburnedvAll,18-SV-FID1077-IR-N,0,1,55.33333333,96,47.27777778,33,40,96,79,2.5,7.5,6,2.5,21.83333333,8.833333333,9.708333333,48.16666667,2.5,40,14.28571429,0,5.142857143,24,12.78571429,19,15.64285714,11,9.285714286,0,0,12.15,6.075,12.15,6.075,0,0,12.15,6.075,0,0,1.35,0.675,0,0,0,0
UnburnedvAll,18-SV-FID1079-IR-N,0,1,36.66666667,0,34.11111111,0,50,99,63,3.833333333,31.08333333,3.166666667,3.166666667,17.08333333,11.66666667,28.95833333,13.16666667,2.5,0,0,50,19.14285714,26,15.35714286,0,9.142857143,15,7.214285714,0,0,0,0,0,0,0,0,0,0,0,0,12.65,6.325,0,0,0,0
UnburnedvAll,18-SV-FID1080-IR-N,0,1,69.33333333,64,39.22222222,21.66666667,123,141,122,2.5,32.75,3.833333333,3.166666667,12.75,17.875,26.54166667,2.5,14.54166667,0,0,123,79.92857143,46,25.28571429,0,27.21428571,35,11.64285714,0,0,0,0,0,0,23.5,11.75,23.5,11.75,0,0,2.2,6.575,0,0,0,0
UnburnedvAll,18-SV-FID1082-IR-N,0,1,78,80,56.66666667,26.66666667,79,137,107,6.166666667,6.666666667,14.08333333,2.5,5.166666667,20.04166667,3.166666667,36.75,13.04166667,0,0,79,33.85714286,45,37.92857143,21,22.21428571,44,15,0,0,0,0,0,0,10.65,5.325,10.65,5.325,0,0,0,0,0,0,10.65,5.325
UnburnedvAll,18-SV-FID1088-IR-N,0,1,98.66666667,80,78.38888889,28.66666667,75,118,103,18.75,12.45833333,7.541666667,2.5,13.125,21.70833333,15.33333333,2.5,14.79166667,75,45.14285714,0,30.35714286,24,19.28571429,0,14.07142857,6,4.928571429,13.75,9.2,0,0,13.75,9.2,7.1,7.4,20.85,16.6,0,0,0,0,0,0,0,0
UnburnedvAll,18-SV-FID32-IR-N,0,0,84,80,50.94444444,37.66666667,51,67,45,4.666666667,10.45833333,2.5,3.166666667,5.333333333,18.29166667,55.70833333,4,33.83333333,51,49.21428571,0,17.92857143,32,22.64285714,0,1.857142857,12,10.21428571,9.95,11.8,6.55,3.275,16.5,15.075,0,1.475,16.5,16.55,0,0,6.25,5.6,0,0,0,0
UnburnedvAll,18-SV-FID33-IR-N,0,0,84,80,47.55555556,28.66666667,64,137,119,2.5,9.333333333,4.666666667,3.166666667,20.70833333,7.333333333,37.75,24.58333333,10.91666667,0,0,64,36,0,1.642857143,0,12.07142857,23,9.571428571,0,0,0,0,0,0,13.15,7.85,13.15,7.85,0,0,0,0,0,0,10.6,5.3
UnburnedvAll,18-SV-FID35-IR-N,0,0,87.33333333,96,52.72222222,47.33333333,66,84,45,2.5,3.833333333,2.5,3.833333333,3.833333333,12.41666667,46.875,26.41666667,29.29166667,66,44.28571429,0,31.21428571,25,9.571428571,0,0,5,6.142857143,16.3,9.025,0,0.65,16.3,9.675,13.1,15.825,29.4,25.5,0,0,0,0,0,0,0,0
UnburnedvAll,18-SV-FID39-IR-N,0,1,56,0,45.88888889,0.666666667,59,85,59,3.166666667,20.91666667,4.666666667,6,30.29166667,16.33333333,3.833333333,31.95833333,2.5,0,0,59,18.07142857,0,1.785714286,0,3.285714286,25,11.21428571,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0.925,0,0,0,0
UnburnedvAll,18-SV-FID40-IR-N,0,0,63.33333333,32,51.55555556,10.66666667,47,119,98,4.666666667,23.625,6.125,3.833333333,17.95833333,12.33333333,23.79166667,14.83333333,2.5,47,37.07142857,0,2,39,22.21428571,0,6.571428571,17,8.642857143,11.5,9.2,0,0,11.5,9.2,0,0,11.5,9.2,0,0,0,1,0,0,0,0
UnburnedvAll,15-SV-14NV2880-U-N1,1,0,56.67,32,59.88888889,32,105,180,155,11.16666667,5.166666667,5.166666667,2.5,11.16666667,32.16666667,2.5,56.33333333,48,37,30.25,105,34.5,13,19,9,4.25,16,17,0,0,9.47,12.47,9.47,12.47,13,6.5,22.47,18.97,0,0,3.13,1.57,0,0,0,0
UnburnedvAll,15-SV-14NV2901-U-N1,1,0,78.67,32,58.33333333,17.33333333,77,189,109,10.5,7.833333333,14.5,5.166666667,10.5,17.16666667,17,36.16666667,2.5,0,28.75,77,53.25,0,3.75,12,10.25,10,8,0,1.63,9.93,4.97,9.93,6.6,18.6,18.97,28.53,25.57,0,0,0.6,1.87,0,1.47,0,0
UnburnedvAll,15-SV-14NV2913-U-N1,1,0,47.78,44,56.88888889,58,47,84,73,7.833333333,2.5,11.16666667,2.5,10.5,26.16666667,5.166666667,28,54.66666667,47,43,30,11.25,66,28.75,12,21,59,22,7.07,3.53,22.47,23.3,29.53,26.83,0,0,29.53,26.83,0,0,2.93,2.33,0,0,0,0
UnburnedvAll,15-SV-14NV3600-U-N1,1,0,75.33,84,52.55555556,42,93,143,115,2.5,8.5,5.166666667,2.5,5.166666667,34.5,42.16666667,11.16666667,2.5,86,21.5,0,0,8,15.75,0,2.25,12,12.25,19.13,9.77,0,0,19.13,9.77,0,0,19.13,9.77,0,0,2.8,1.4,0,0,0,0
UnburnedvAll,15-SV-14NV3600-U-N2,1,0,76,100,59.11111111,50,77,151,140,2.5,19.66666667,2.5,2.5,10.5,13.83333333,46.33333333,46.33333333,5.166666667,0,0,77,57,27,17.25,0,8,16,19.5,0,4,0,0,0,4,23.8,14.07,23.8,18.07,0,0,5.07,2.53,23.8,14.07,0,0
UnburnedvAll,15-SV-14NV3602-U-N1,1,0,63.33,48,41.44444444,28.66666667,50,153,118,2.5,7.833333333,30.16666667,2.5,5.166666667,11.16666667,32.83333333,31.33333333,11.16666667,50,38.25,57,14.25,31,12,13,17.25,10,6.25,0,0,17.27,23.47,17.27,23.47,5.87,7.4,23.13,30.87,0,0,3.8,1.9,0,0,0,0
UnburnedvAll,15-SV-14NV3632-U-N1,1,0,81.33,24,63.44444444,12,54,57,40,2.5,48.83333333,5.166666667,8.5,62.16666667,34.66666667,7.833333333,14.33333333,2.5,0,0,54,13.5,48,26.25,14,12,60,26.25,2.27,1.13,0,0,2.27,1.13,19.87,14.9,22.13,16.03,0,0,0,0.3,19.87,14.9,0,0
UnburnedvAll,15-SV-14NV3637-U-N1,1,0,57.33,0,48.88888889,0,50,90,52,13.83333333,23,5.166666667,7.833333333,10.5,11.16666667,2.5,34.66666667,2.5,0,0,0,0,50,32.25,18,12.75,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnburnedvAll,15-SV-14SO443-U-N1,1,0,62.67,12,65.77777778,9.333333333,79,139,130,8.5,8.5,5.166666667,2.5,11.16666667,57.16666667,26.16666667,2.5,42,79,57.5,0,7,23,14,3,2.75,18,12,14.33,19.9,0,1.53,14.33,21.43,4.33,2.17,18.67,23.6,0,0,8.13,4.93,4.33,2.17,0,0
UnburnedvAll,15-SV-14SO443-U-N2,1,0,88,44,75.88888889,38,47,89,58,11.16666667,2.5,5.166666667,5.166666667,11.16666667,7.833333333,38.83333333,2.5,34.5,47,54.75,53,39.25,7,11.5,0,3.25,10,9,24.07,16.4,23.2,16.47,47.27,32.87,1.53,1.1,48.8,33.97,0,0,1.73,3.87,1.53,1.1,0,0
UnburnedvAll,15-SV-14SO444-U-N1,1,0,71.33,28,52.66666667,14,54,124,90,7.833333333,5.166666667,2.5,11.16666667,2.5,25.33333333,43,2.5,20.33333333,0,0,54,42.5,0,4,0,0.25,10,5,0,0,0,0,0,0,43.8,33.13,43.8,33.13,0,0,0,0,43.8,32.87,0,0
UnburnedvAll,15-SV-14SO444-U-N2,1,0,83.33,96,57.88888889,49.33333333,86,206,105,20.5,2.5,10.5,2.5,11.16666667,17,48,2.5,36.16666667,86,50.25,0,10,9,7.75,13,5,7,5.75,25.53,28.37,0,1.3,25.53,29.67,1.4,2.5,26.93,32.17,0,0,2.67,2.57,1.4,2.5,0,0
UnburnedvAll,15-SV-14SO482-U-N1,1,0,86.67,76,57,38,49,85,62,11.16666667,11.16666667,8.5,5.166666667,13.83333333,20.5,14.33333333,28.83333333,2.5,49,25.5,0,0,46,34.75,19,11.5,29,33.5,13.6,7.5,8.53,7.37,22.13,14.87,0,0,22.13,14.87,0,0,1.8,3.33,0,0,0,0
UnburnedvAll,15-SV-14SO486-U-N1,1,0,33.33,20,38.77777778,13.33333333,51,56,13,5.166666667,14.33333333,2.5,2.5,25.33333333,7.833333333,8.5,62,8.5,0,18.75,0,21.5,48,39.25,0,6.5,33,29,1.2,0.6,0,5.77,1.2,6.37,0,0,1.2,6.37,0,0,0,0,0,0,0,0
UnburnedvAll,15-SV-SVNoBand-U-N1,1,0,95.33,92,73.55555556,46.66666667,74,114,108,8.5,5.166666667,5.166666667,2.5,11.16666667,11.16666667,7.833333333,58,2.5,74,31,0,0,24,25,5,9,12,15.75,0,0,21.67,21.5,21.67,21.5,9.33,5.93,31,27.43,0,0,5.8,2.9,7.73,4.7,0,0
UnburnedvAll,16-SV-14NV2569-U-N1,1,0,97.33,96,64,48,65,151,138,5.166666667,8.5,2.5,2.5,19.66666667,2.5,7.833333333,62.16666667,2.5,65,16.25,0,0.5,0,7.25,0,4,2,2.25,0,0.833333333,14.93333333,11.03333333,14.93333333,11.86666667,0.4,0.2,15.33333333,12.06666667,0,0,0,0,0,0,0,0
UnburnedvAll,16-SV-14NV2670-U-N1,1,0,93.33,92,65.66666667,46,66,107,95,2.5,26.33333333,2.5,2.5,17.16666667,8.5,34.5,8.5,2.5,66,27.75,0,10.25,20,20.75,0,5,12,7.25,4.866666667,4.333333333,7.866666667,7.666666667,12.73333333,12,0,0,12.73333333,12,0,0,0,4.1,0,0,0,0
