Length,Growth,Mass,Predator,Exposure,Presence,expunit,Alive
54.1,37.7,23.78,Crabs,6,present,Crabs_6_b,A
44.4,29.85,13.13,Crabs,6,present,Crabs_6_b,A
55.15,35.8,20.26,Crabs,6,present,Crabs_6_b,A
56.1,41.5,29.35,Crabs,6,present,Crabs_6_b,A
47.75,28.5,13.64,Crabs,6,present,Crabs_6_b,A
49.6,36.7,18.69,Crabs,6,present,Crabs_6_g,A
38.05,34.05,19.76,Crabs,6,present,Crabs_6_g,A
65.4,43.65,48.68,Crabs,6,present,Crabs_6_g,A
53.15,41.2,NA,Crabs,6,present,Crabs_6_g,A
45.5,34.5,27.73,Crabs,6,present,Crabs_6_g,A
42.35,31.6,NA,Crabs,6,present,Crabs_6_g,A
57.1,44.5,30.21,Crabs,6,present,Crabs_6_g,A
64.3,47.9,28.27,Crabs,6,present,Crabs_6_g,A
42.7,34.15,15,Crabs,6,present,Crabs_6_g,A
44.4,34.4,16.9,Crabs,6,present,Crabs_6_g,A
46.35,31.05,15.31,Crabs,6,present,Crabs_6_g,A
45.25,38.4,18.05,Crabs,6,present,Crabs_6_g,A
47.35,33.05,19.24,Crabs,6,present,Crabs_6_g,A
46.8,35.85,12.53,Crabs,6,present,Crabs_6_g,A
43.05,33.4,15.18,Crabs,6,present,Crabs_6_g,A
49.1,33.7,18.18,Crabs,6,present,Crabs_6_g,A
39.3,27.4,10.96,Crabs,6,present,Crabs_6_g,A
54.05,43.15,17.41,Crabs,6,present,Crabs_6_g,A
50.45,40.8,20.99,Crabs,6,present,Crabs_6_g,A
43.05,33.7,20.12,Crabs,6,present,Crabs_6_g,A
47.5,30.05,22.64,Crabs,6,present,Crabs_6_o,A
50.05,36.4,17.28,Crabs,6,present,Crabs_6_o,A
59.8,42.3,27.15,Crabs,6,present,Crabs_6_o,A
42.6,29.5,14.24,Crabs,6,present,Crabs_6_o,A
43.05,27.55,12.44,Crabs,6,present,Crabs_6_o,A
43.4,28.4,16.91,Crabs,6,present,Crabs_6_o,A
60.05,35.55,30.67,Crabs,6,present,Crabs_6_o,A
51.2,40.2,16.91,Crabs,6,present,Crabs_6_o,A
40.9,27.5,15.1,Crabs,6,present,Crabs_6_o,A
39.1,33.2,19.24,Crabs,6,present,Crabs_6_o,A
48.45,34.55,17.21,Crabs,6,present,Crabs_6_o,A
44.05,28.1,27.53,Crabs,6,present,Crabs_6_o,A
39.95,31.9,14.94,Crabs,6,present,Crabs_6_o,A
43.65,35.05,18.49,Crabs,6,present,Crabs_6_o,A
53.6,34.1,18.89,Crabs,6,present,Crabs_6_o,A
43.3,30.3,12.88,Crabs,6,present,Crabs_6_o,A
53.9,39.55,19.42,Crabs,6,present,Crabs_6_o,A
50.35,35.4,16.64,Crabs,6,present,Crabs_6_o,A
46.15,29.6,12.77,Crabs,6,present,Crabs_6_o,A
46.2,32.6,18.83,Crabs,6,present,Crabs_6_o,A
58.5,41.25,24.61,Crabs,6,present,Crabs_6_p,A
48.35,38.4,16.22,Crabs,6,present,Crabs_6_p,A
44.05,32.05,18.69,Crabs,6,present,Crabs_6_p,A
38.65,28.85,14.28,Crabs,6,present,Crabs_6_p,A
40.45,29.45,14.57,Crabs,6,present,Crabs_6_p,A
49.7,39.8,18.22,Crabs,6,present,Crabs_6_p,A
66.4,42.5,39.71,Crabs,6,present,Crabs_6_p,A
61.55,NA,50.21,Crabs,6,present,Crabs_6_p,A
53.9,37.2,38.93,Crabs,6,present,Crabs_6_p,A
51.95,40.1,31.84,Crabs,6,present,Crabs_6_p,A
49.8,39.4,20.42,Crabs,6,present,Crabs_6_p,A
57.9,41.3,24.79,Crabs,6,present,Crabs_6_p,A
45.05,37.8,8.62,Crabs,6,present,Crabs_6_p,A
58.35,41.85,26.52,Crabs,6,present,Crabs_6_p,A
62.85,45.8,29.27,Crabs,6,present,Crabs_6_p,A
52.85,42.3,21.43,Crabs,6,present,Crabs_6_p,A
64.6,42.65,31.5,Crabs,6,present,Crabs_6_p,A
52.6,32.95,27.58,Crabs,6,present,Crabs_6_p,A
47.35,28.8,16.2,Crabs,6,present,Crabs_6_p,A
44.15,34.25,14.27,Crabs,6,present,Crabs_6_p,A
33.6,22.8,21.32,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
57.3,38.85,24.14,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
61.55,45.7,21.23,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
56.55,39.1,21.17,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
52.95,41.3,20.07,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
45.1,34.35,15.47,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
52.1,38.8,19.59,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
49.75,35.3,27.49,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
49.7,33.45,27.5,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
51.5,32.6,25.3,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
55.9,41.7,21.4,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
52.5,32.2,13.6,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
45.05,28.15,12.71,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
39.55,29.1,16.62,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
45.9,37.6,17.84,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
45.05,32.25,15.1,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
43.3,33.95,27.51,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
46.5,35.9,27.51,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
38.9,28.2,NA,Crabs,"3 
 con",present,"Crabs_3 
 con_b",A
52.45,44.05,16.78,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
37.3,25.25,11.74,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
60.2,41.7,38.43,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
52.4,43.1,NA,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
53.05,38.2,34.23,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
48.5,35.3,NA,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
56.45,37.7,40.58,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
55.15,43.2,22.27,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
44.2,31.2,15.2,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
41.7,29.8,14.64,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
46.3,32.7,13.66,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
57.3,41.2,8.74,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
36.35,24.4,9.83,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
47.85,38.6,19.42,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
42.6,33.2,17.49,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
41.4,27.3,13.37,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
55.85,37.7,13.95,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
40.05,28.5,11.41,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
41.05,34.2,16.31,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
46.6,35.05,14.22,Crabs,"3 
 con",present,"Crabs_3 
 con_g",A
49.55,33.2,20.08,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
49.15,33.3,15.26,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
45.5,29.15,18.66,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
53.5,45.3,37.58,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
49.4,42.4,NA,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
54.05,38.8,33.11,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
49.9,41.2,34.11,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
46.9,23.6,NA,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
65.1,36.55,33.09,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
52.2,36.1,27.44,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
53.3,40.65,23.46,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
43.7,32.6,18.39,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
62.7,51.05,20.86,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
55.05,37.2,18.06,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
51.9,48.55,20.02,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
52.1,39.3,18.1,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
61.65,52.6,25.16,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
51.75,33.6,20.76,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
54.3,42.25,28.25,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
55.2,38.8,20.37,Crabs,"3 
 con",present,"Crabs_3 
 con_o",A
48.1,34.2,20.23,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
49.3,29.15,17.17,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
55.8,37.4,44.71,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
49.1,38.2,NA,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
50.9,28.45,11.43,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
59.2,39.05,37.44,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
43.5,28.25,25.58,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
59.6,44.9,25.45,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
57.2,42.25,19.42,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
45.05,30.3,13.2,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
56.55,41.2,22.99,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
40.2,27.15,15.77,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
50.8,35.5,14.67,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
42.75,31.2,14.87,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
53.95,32.3,20.53,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
40.35,31.25,13.39,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
50.3,37.4,20.52,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
45.95,29.8,17.71,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
40.4,28.25,15.12,Crabs,"3 
 con",present,"Crabs_3 
 con_p",A
60.15,48.1,23.8,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
45.45,31.15,16.76,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
62.2,41.4,69.46,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
49.1,39.25,29.23,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
50.65,38.5,19.65,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
50.2,35.4,19.11,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
48.3,37.25,19.78,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
46.6,36.85,20.23,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
55.2,37.4,22.74,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
55.4,43.1,25.22,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
59.6,39.3,20.65,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
49.55,33.5,23.42,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
56.45,39.6,20.72,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
44.05,32.2,13.1,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
44.3,29.7,16.47,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
51.3,31.5,20.08,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
49.9,37.55,15.94,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
43.5,36.35,14.18,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
50.4,35.55,16.11,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
49.2,27.4,15.37,Crabs,"3 
 iso",present,"Crabs_3 
 iso_b",A
48.1,32.5,19.69,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
58.5,4.3,29.25,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
56.2,38.25,41.76,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
52.9,44.6,NA,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
47.4,47.45,43.64,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
54.7,39.5,NA,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
54.6,39.05,28.88,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
62.4,44.2,26.49,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
49.6,30.75,18.39,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
58.7,36.3,19.41,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
45.2,33.5,16.58,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
45.55,27.7,19.59,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
53.4,32.1,25,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
52.55,38.7,22.83,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
46.15,34.1,20.04,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
5.6,39.2,21.83,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
61.6,49.8,21.84,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
49.2,41.55,22.18,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
53.1,37.35,24.27,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
63.7,46.15,32.18,Crabs,"3 
 iso",present,"Crabs_3 
 iso_g",A
54.2,48.05,19.81,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
52.55,33.3,16.26,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
48.4,30.8,27.32,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
53.45,35.05,31.35,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
45.05,29.35,33.27,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
46.35,25.6,27.59,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
45.15,NA,35.8,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
51.6,35.1,24.26,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
48.3,29.75,20,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
39.05,29.5,13.51,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
49.6,28.4,14.17,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
58.3,45.3,34.97,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
43.4,32.05,15.82,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
48.6,29.5,19.23,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
43.4,32.4,17.87,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
50.7,33.6,20.45,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
42.2,35.1,18.3,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
49.5,37.8,19.34,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
50.05,35.5,26.16,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
39.3,31.7,18.23,Crabs,"3 
 iso",present,"Crabs_3 
 iso_o",A
47.6,34.4,15.96,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
48.15,37.15,17.34,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
57.6,45.7,32.82,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
50.65,37.5,37.02,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
52.75,32.3,NA,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
41.6,29.4,20.39,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
50.15,35.35,25.69,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
48.65,33.7,19.02,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
61.3,42.8,24.47,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
42.7,22.15,9.38,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
59.35,41.85,31.09,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
46.3,38.3,16,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
59.5,38.45,23.58,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
43.4,32.5,14.59,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
43.4,35.5,10.78,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
4.25,257,6.34,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
45.3,32.15,12.74,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
44.35,25.2,14.32,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
46.6,29.05,15.67,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
58.85,35.6,31.71,Crabs,"3 
 iso",present,"Crabs_3 
 iso_p",A
