hours_tv_day,number_of_siblings,state,urban,school_year,school_grade,gender,goody_score
0.011080809,2,New Jersey,urban,K,d,boy,81.50154141
1.468594818,5,Idaho,urban,3,a,boy,60.66369753
1.887337369,0,Georgia,rural,3,a,boy,80.33414444
3.266179507,2,Ohio,urban,K,b,girl,77.35716883
0.085056744,1,North Dakota,rural,5,a,girl,80.60650732
4.101159368,1,Oregon,rural,1,c,boy,77.906976
0.110718755,2,New York,urban,5,d,girl,78.78691761
2.099917902,2,New York,urban,3,b,girl,73.71924268
1.039139643,6,Mississippi,rural,4,f,boy,46.41820314
2.276258131,1,Virginia,urban,6,b,girl,86.32049461
1.084726083,3,Idaho,urban,3,f,girl,75.3570588
1.73512285,1,Rhode Island,urban,4,a,boy,85.29298277
1.605633356,1,Utah,urban,6,c,girl,81.61356927
2.189408938,0,Utah,urban,1,f,boy,89.90088735
2.114622237,1,Alabama,urban,K,b,boy,81.41575895
3.16370021,0,Utah,rural,5,b,boy,82.92029623
0.461516389,0,Missouri,rural,1,a,girl,91.76433129
2.422510509,3,Alaska,urban,3,d,boy,69.6157647
0.515940234,2,Texas,urban,K,c,girl,84.90616795
0.018453247,0,Montana,rural,1,f,girl,89.96207973
0.069355238,1,West Virginia,rural,2,f,girl,83.62899663
1.775246388,4,Vermont,rural,6,f,boy,63.27564635
1.034325802,2,Rhode Island,urban,2,f,boy,79.57718566
0.7045037,1,California,rural,2,c,boy,90.81742657
0.881171821,3,New Jersey,urban,5,a,boy,77.96025439
4.795059964,1,Missouri,urban,3,a,girl,81.74174176
5.134041033,1,Ohio,urban,1,c,girl,77.5566229
1.235080382,1,Wisconsin,urban,5,c,girl,84.98939626
